[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27길 21
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로 103
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27가길 23
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27가길 13
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27나길 16
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로동로40길 4
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로동로40나길 9
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로27나길 32
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 10-15
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 10
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 40
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 58
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로중앙로21길 72
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로19길 25
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로동로38길 46
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로22길 48
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20라길 20-7
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 14-14
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20길 43
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 구로동로28길 33-41
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로15길 6-2
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20나길 22-2
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 28-13
[INFO ] 00:30:00.486 c.o.oddProject.dto.OpenApiManagerDto - 가마산로20다길 22-10
